# timestamp tx ty tz qx qy qz qw
1.546321760632498980e+09 -4.319090414482226192e-01 -1.327086935400486611e-01 8.262431886713113016e-01 9.844376401063545945e-01 -1.493444557834534836e-01 7.360071885025250282e-02 5.622900010938829130e-02
1.546321760932524920e+09 -5.004571958143578803e-01 -9.948374435604304122e-02 7.633762616119172950e-01 9.845059080119522577e-01 -1.505344174105424093e-01 7.276018294210584436e-02 5.285321222651783585e-02
1.546321761232875109e+09 -5.425455811142956275e-01 -5.270609395578554346e-02 6.943219191321892136e-01 9.851666382187471704e-01 -1.442318507541292816e-01 7.875001779515004852e-02 4.941966072398838034e-02
1.546321761633097887e+09 -5.885704209870069592e-01 2.258747560644678437e-02 5.907764914954148905e-01 9.862708849494044028e-01 -1.277911035519611604e-01 9.478622536869667214e-02 4.421251897874045600e-02
1.546321762032401085e+09 -6.960101234027750161e-01 1.016646653120707178e-01 4.829456758434660379e-01 9.867675688630748176e-01 -1.227916781531068063e-01 9.609823142011306163e-02 4.446457842290801182e-02
1.546321762332537889e+09 -8.317070279398275368e-01 1.654834929709552427e-01 4.019958066738479885e-01 9.864204321243953411e-01 -1.195374449285282470e-01 9.758752864591777043e-02 5.623348291064862725e-02
1.546321762632613897e+09 -1.018421274311100300e+00 2.673323262243939014e-01 3.121014140096472489e-01 9.861303234818572516e-01 -1.246844789842779105e-01 9.569456724619300469e-02 5.332274945603066724e-02
1.546321762932744026e+09 -1.251679889000157031e+00 3.964700328978130739e-01 2.175311022229125535e-01 9.857134456062923711e-01 -1.386894224030902345e-01 8.547417020931967480e-02 4.275995195853769110e-02
1.546321763233263969e+09 -1.503479396138998503e+00 5.236791075607257762e-01 1.266319017485138254e-01 9.853614849715189861e-01 -1.468704365245439014e-01 7.600115109488188303e-02 4.142033126455885866e-02
1.546321763632373095e+09 -1.824615951286123527e+00 6.907179501636665497e-01 1.128364780199104904e-02 9.863105561276898081e-01 -1.458906526374590951e-01 7.502289360506397831e-02 1.670238842881382677e-02
1.546321763932549000e+09 -2.066592066512928039e+00 7.884164219780396277e-01 -3.702123807222194862e-02 9.861495996079996385e-01 -1.504971110684593938e-01 6.963560293854437200e-02 -3.235669392165599085e-03
1.546321764332571983e+09 -2.382395802045444100e+00 8.193103387051758890e-01 -1.365302738881727686e-02 9.847284931840394329e-01 -1.618829252634221838e-01 5.878252748757727825e-02 2.546227958806102434e-02
1.546321764632867098e+09 -2.577125774376638034e+00 7.983850948121711255e-01 2.771821669770456811e-02 9.829972433280398381e-01 -1.637478011773376152e-01 5.784424410940500888e-02 5.964160160888683920e-02
1.546321765032365084e+09 -2.756965548835981217e+00 7.978325803811463501e-01 5.645760047733593828e-02 9.847265007109042845e-01 -1.552963625593263841e-01 6.577186562004348758e-02 4.325297985524931277e-02
1.546321765332952023e+09 -2.864511377756307375e+00 7.714675785419046194e-01 7.107331972365250883e-02 9.861310919664940666e-01 -1.341108607561851129e-01 8.241913420062577100e-02 5.260069202799768501e-02
1.546321765732503891e+09 -3.054548653056711860e+00 7.555641094165458371e-01 5.627589691585826309e-02 9.854971643930563463e-01 -1.190558250689925796e-01 9.982854142567594569e-02 6.822984542858540058e-02
1.546321766032504082e+09 -3.265040588311793890e+00 7.946891397212848540e-01 9.709287880656020803e-03 9.860295242308207975e-01 -1.327854952221030616e-01 8.887656092705888133e-02 4.706109350132809538e-02
1.546321766332586050e+09 -3.503237167012927866e+00 8.241055450726382237e-01 -3.649302400817852621e-02 9.856340684180600054e-01 -1.395130757731738724e-01 8.345504194104601259e-02 4.579127467749349173e-02
1.546321766632842064e+09 -3.755033126857948655e+00 8.476008161231718407e-01 -7.825381738657313790e-02 9.847923529259281494e-01 -1.506114016098155928e-01 7.432678860738714532e-02 4.444947490189186251e-02
1.546321766933093071e+09 -3.991714862069098757e+00 8.667266422392942982e-01 -1.073853662212445881e-01 9.851131624819745580e-01 -1.518573509604841665e-01 7.244347146451811381e-02 3.526110472172934440e-02
1.546321767233108997e+09 -4.219139531092720219e+00 8.629667480199116891e-01 -1.139868618946212192e-01 9.856093269968179138e-01 -1.468227449608078550e-01 7.270339061123240465e-02 4.161193449821596474e-02
1.546321767632544041e+09 -4.516932398213441502e+00 8.430321445410388081e-01 -1.134191134165850601e-01 9.856482469055198870e-01 -1.390586123503547711e-01 7.820889124255438196e-02 5.516887740274658419e-02
1.546321768032417059e+09 -4.826779396521862608e+00 8.486320113118449582e-01 -1.229039643354114947e-01 9.860242579744435965e-01 -1.296315922115551245e-01 8.612222852317039101e-02 5.945397161542669007e-02
1.546321768332741976e+09 -5.085433191082127102e+00 8.739993064431722525e-01 -1.462934858959643314e-01 9.856576423388168084e-01 -1.278193446406467315e-01 8.913959831920008348e-02 6.477159289543887866e-02
1.546321768633023977e+09 -5.368754478632844496e+00 9.297707339767600221e-01 -1.877492079896864730e-01 9.852161397647909435e-01 -1.320832900458798753e-01 8.623021181168452620e-02 6.683945697364579441e-02
1.546321769032881021e+09 -5.768901843507500793e+00 1.039854138438649267e+00 -2.834950190400016834e-01 9.852657752652831391e-01 -1.381857533089065337e-01 8.034581172482663236e-02 6.083255881211294819e-02
1.546321769432780981e+09 -6.172989297254304120e+00 1.147453075269796230e+00 -4.227862956510573533e-01 9.858797171452204910e-01 -1.363710069196970853e-01 8.170692472529607342e-02 5.261283346582713155e-02
1.546321769732822895e+09 -6.485498559461727375e+00 1.222145921446473604e+00 -5.375409049301637099e-01 9.855988237115012041e-01 -1.402481626555543981e-01 7.757724776600560812e-02 5.391829188038189946e-02
1.546321770132961988e+09 -6.891187990981559430e+00 1.338479629957419759e+00 -6.923999986681760310e-01 9.861692059291076173e-01 -1.358089393930530797e-01 8.122232364854914399e-02 4.928654379460779139e-02
1.546321770532560110e+09 -7.307656818955315714e+00 1.483842767666070372e+00 -8.223196700389231451e-01 9.860770012014183905e-01 -1.411851620484230185e-01 7.422501045951288012e-02 4.700580327219099075e-02
1.546321770832709074e+09 -7.613839296594769657e+00 1.623333969719892966e+00 -8.817315191838419608e-01 9.857202882446828296e-01 -1.410676810549146565e-01 7.166223916155214924e-02 5.761897415748275242e-02
1.546321771132725954e+09 -7.906257544922336677e+00 1.802737858765825596e+00 -9.292429433666435923e-01 9.846779184305324284e-01 -1.390072318646836114e-01 7.282168377713439666e-02 7.604859509875853962e-02
1.546321771432837963e+09 -8.185970157644085532e+00 1.997015765844303514e+00 -1.036678828411269571e+00 9.852759080184224638e-01 -1.287960832916265896e-01 8.465546554259058276e-02 7.400274428003855709e-02
1.546321771832820892e+09 -8.594736671455887489e+00 2.261626218897935026e+00 -1.278487807529640863e+00 9.876061481836364564e-01 -1.252707388468060068e-01 8.972525730851478587e-02 2.984486990384054711e-02
1.546321772232744932e+09 -9.075954518894127077e+00 2.500907256677237900e+00 -1.507649500233173789e+00 9.874138424694551830e-01 -1.356850908335822392e-01 8.098055308701179733e-02 -6.753506267863055787e-03
1.546321772632834911e+09 -9.602385741567736943e+00 2.650892847956054954e+00 -1.599664335225785994e+00 9.844689843514276006e-01 -1.495525677660854424e-01 6.845473083037371953e-02 -6.139053796457583784e-02
1.546321773032469988e+09 -1.014293118601441712e+01 2.574039105730194787e+00 -1.457987806617857762e+00 9.855761075687092809e-01 -1.593582287273873355e-01 5.658704174006008725e-02 6.526701593482370223e-03
1.546321773332485914e+09 -1.050241512622631213e+01 2.470875901428386090e+00 -1.293246291595789188e+00 9.856484140488542822e-01 -1.563779353827427776e-01 5.849525366149025546e-02 2.492890907133347989e-02
1.546321773732369900e+09 -1.092310798788427562e+01 2.300584338279068941e+00 -1.063282378619860635e+00 9.865542984448921748e-01 -1.329248247175591757e-01 7.939852626020577064e-02 5.232094438578530765e-02
1.546321774033042908e+09 -1.124788082174733539e+01 2.194819892623747659e+00 -9.210087083459342905e-01 9.866315072343193604e-01 -1.273390226743054132e-01 8.673853110948531731e-02 5.309867661116186160e-02
1.546321774432528973e+09 -1.172437795099885349e+01 2.114331343188969647e+00 -7.550547744676575634e-01 9.866431925201928355e-01 -1.296844812559620197e-01 8.126830840971209502e-02 5.579075212934164751e-02
1.546321774832703114e+09 -1.221880988345196251e+01 2.086432228964913538e+00 -6.349781349671103081e-01 9.836293944947661627e-01 -1.619888896749897278e-01 5.312267122928449048e-02 5.840201802325720171e-02
1.546321775232764959e+09 -1.259020148510783699e+01 2.079744319483196158e+00 -5.620351240713225005e-01 9.833006469226527324e-01 -1.704730857401298705e-01 4.677935659965228726e-02 4.324877565727872075e-02
1.546321775632514000e+09 -1.281928621667239021e+01 2.054334929226263373e+00 -4.882334484681848941e-01 9.847286574751031862e-01 -1.641361615838453913e-01 5.143528474848722831e-02 2.689243556550225886e-02
1.546321775932883024e+09 -1.291868378701037123e+01 2.014194123571962258e+00 -3.993518904107224987e-01 9.847498035068178446e-01 -1.621372003640970394e-01 5.245390928459053859e-02 3.504197700102407165e-02
